time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446100000	15.9187	4.04318	5.3871	0.660554	0.343746	lidar	0.485741	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1546	4.2958	5.0051	0.626749	0.309218	radar	1.08118	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3293	4.41125	5.42525	0.715877	0.381826	lidar	0.0990098	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5897	4.542	5.04133	0.621263	0.247628	radar	0.467008	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6787	4.73298	5.26043	0.75448	0.384213	lidar	0.678444	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.9117	4.94483	4.8327	0.740737	0.443982	radar	3.03933	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0193	5.15523	5.29434	0.83822	0.467348	lidar	0.340043	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.305	5.08828	4.70473	0.703024	0.347045	radar	1.03064	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3357	5.50362	5.15477	0.872317	0.445948	lidar	0.50942	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.6801	5.22107	4.52218	0.675177	0.29329	radar	1.34532	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7334	5.76794	5.03062	0.811683	0.25359	lidar	2.06874	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9633	5.67022	4.55853	0.787782	0.411565	radar	1.02541	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0955	6.14765	5.09464	0.83127	0.242722	lidar	0.108162	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2299	6.19198	4.77162	0.887165	0.43783	radar	1.80572	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3233	6.60052	5.05163	0.949844	0.415589	lidar	1.39054	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4772	6.68538	4.87283	0.976357	0.478141	radar	0.482016	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.591	6.90405	4.80501	0.949525	0.341676	lidar	1.76707	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7761	7.0725	4.92891	0.970675	0.355322	radar	0.750397	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.0014	7.23122	4.88534	0.87303	0.140275	lidar	2.03017	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9491	7.5198	4.8482	1.07024	0.486128	radar	3.02454	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1561	7.73931	4.91327	1.03828	0.413731	lidar	3.39386	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2229	7.85275	4.7977	1.05935	0.387355	radar	0.402	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2708	8.16302	4.73033	1.1549	0.551496	lidar	1.6774	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4129	8.26959	4.82181	1.08799	0.339837	radar	2.10081	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4132	8.47868	4.41859	1.18917	0.520072	lidar	2.50784	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6295	8.62986	4.70191	1.12615	0.39422	radar	0.551402	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7766	8.87298	4.61291	1.08976	0.246877	lidar	4.4262	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7475	9.17465	4.78426	1.22501	0.48487	radar	0.561141	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.0603	9.34938	4.85682	1.08421	0.19198	lidar	1.62238	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.8233	9.69586	4.82944	1.32632	0.576924	radar	0.610995	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.2139	9.83948	4.92195	1.17106	0.312306	lidar	0.716195	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	19.8232	10.4297	5.14665	1.38954	0.430455	radar	5.83941	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2726	10.3781	4.98993	1.3146	0.511538	lidar	1.80471	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	19.8511	10.9404	5.1361	1.4697	0.517291	radar	0.893606	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3723	10.9233	5.13095	1.39137	0.554839	lidar	0.586709	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	19.8154	11.6229	5.34573	1.52342	0.422134	radar	2.20131	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3827	11.399	5.01795	1.48861	0.632119	lidar	0.567529	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	19.6732	12.2321	5.41241	1.67062	0.663461	radar	4.40076	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.5141	11.9107	5.0996	1.47699	0.49549	lidar	0.980469	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	19.8021	12.5379	5.08468	1.59199	0.345464	radar	4.75653	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.4311	12.4519	5.15515	1.61508	0.654752	lidar	1.19853	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	19.8228	12.8976	4.82401	1.65601	0.520755	radar	2.35048	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.4479	12.9337	5.08651	1.63881	0.580311	lidar	0.365137	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	19.9839	13.1263	4.50769	1.64823	0.482154	radar	5.05688	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
